nowRank,nowCountry,nowTotalCases,nowNewCases,nowTotalDeaths,nowNewDeaths,nowTotalRecovered,nowNewRecovered,nowActiveCases,nowSeriousCritical,nowCasesPerMillion,nowDeathsPerMillion,nowTotalTests,nowTestsPerMillion,nowPopulation
1,USA,80791301,20697,980479,681,53978778,32989,25832044,7058,241723,2934,953600930,2853118,334231210
2,India,42945160,None,514419,None,42353620,None,77121,8944,30619,367,770050005,549028,1402569091
3,Brazil,28842160,None,650052,None,26668010,None,1524098,8318,134104,3022,63776166,296533,215072597
4,France,22900531,60225,138942,180,21364892,131190,1396697,2484,349553,2121,246629975,3764551,65513777
5,UK,19074696,45656,161898,194,17537214,None,1375584,279,278547,2364,484240712,7071356,68479184
6,Russia,16685850,93026,354011,781,14102684,170689,2229155,2300,114256,2424,273400000,1872108,146038558
7,Germany,15243006,69836,124089,113,11696600,226300,3422317,2494,180970,1473,104701826,1243053,84229585
8,Turkey,14255545,49424,95025,188,13572870,66873,587650,1011,166055,1107,145020155,1689260,85848342
9,Italy,12910506,41500,155399,185,11713645,62551,1041462,654,214055,2577,188713837,3128860,60313928
10,Spain,11078028,23140,100239,202,9800509,60554,1177280,890,236786,2143,471036328,10068126,46784904
11,Argentina,8912317,None,126390,None,8694508,None,91419,1101,194229,2754,34323218,748018,45885536
12,Iran,7073747,6772,137439,172,6696494,18416,239814,4098,82463,1602,47494176,553670,85780675
13,Netherlands,6504886,58283,21589,7,4653122,114923,1830175,164,378236,1255,21107399,1227321,17197940
14,Colombia,6067023,None,138899,None,5893989,None,34135,342,117158,2682,33250588,642091,51784841
15,Poland,5708827,14068,112130,266,5099515,12389,497182,696,151116,2968,33881265,896860,37777656
16,Indonesia,5667355,37259,149268,232,4986391,42154,531696,2911,20362,536,86075507,309253,278333780
17,Mexico,5534086,12342,318835,304,4809799,13721,405452,4798,42185,2430,15147396,115465,131185592
18,Japan,5139305,71570,24092,232,4419826,74909,695387,1418,40842,191,39385361,312999,125832372
19,Ukraine,4809624,None,105505,None,4058020,None,646099,177,111085,2437,19521252,450872,43296682
20,Vietnam,3709481,None,40452,None,2516785,None,1152244,3949,37547,409,79510748,804804,98795216
21,S. Korea,3691488,198802,8394,128,969524,None,2713570,766,71899,163,15804065,307816,51342584
22,South Africa,3679539,1853,99499,41,3554282,1494,25758,546,60766,1643,23166727,382591,60552159
23,Philippines,3664905,989,56538,34,3557909,1349,50458,297,32721,505,28203435,251802,112006337
24,Israel,3653608,2377,10239,2,3585292,7460,58077,510,391766,1098,41373364,4436346,9326000
25,Czechia,3608535,8963,38787,16,3474694,5824,95054,197,335927,3611,52741015,4909781,10742030
26,Belgium,3563841,None,30199,None,3098068,33935,435574,240,305293,2587,31755449,2720297,11673524
27,Peru,3520604,None,210851,None,N/A,None,None,908,104359,6250,27460384,813989,33735577
28,Malaysia,3496090,None,32942,None,3169669,None,293479,360,105764,997,49993560,1512409,33055576
29,Canada,3307304,3519,36772,43,3157700,2293,112832,666,86369,960,58276405,1521874,38292534
30,Australia,3297247,35897,5319,47,3052327,None,239601,118,126857,205,63779116,2453807,25991908
31,Portugal,3294691,12234,21141,30,2799531,11726,474019,90,324688,2083,37805639,3725703,10147250
32,Chile,3122802,23395,42683,272,2149021,23033,931098,1105,161060,2201,33241006,1714415,19389120
33,Thailand,2958162,23618,23073,49,2711678,18939,223411,687,42204,329,17270775,246404,70091331
34,Switzerland,2852838,14283,13252,3,2256659,43667,582927,139,325670,1513,18811814,2147493,8759895
