yesterdayRank,yesterdayCountry,yesterdayTotalCases,yesterdayNewCases,yesterdayTotalDeaths,yesterdayNewDeaths,yesterdayTotalRecovered,yesterdayNewRecovered,yesterdayActiveCases,yesterdaySeriousCritical,yesterdayCasesPerMillion,yesterdayDeathsPerMillion,yesterdayTotalTests,yesterdayTestsPerMillion,yesterdayPopulation
1,USA,80770604,50699,979798,1783,53945789,206050,25845017,7161,241661,2931,952687698,2850385,334231210
2,India,42945160,6561,514419,173,42353620,14947,77121,8944,30619,367,769167052,548399,1402569091
3,Brazil,28842160,30995,650052,335,26668010,162005,1524098,8318,134104,3022,63776166,296533,215072597
4,France,22840306,57697,138762,186,21233702,152816,1467842,2484,348634,2118,246629975,3764551,65513777
5,UK,19029040,43923,161704,74,17537214,None,1330122,278,277881,2361,483496650,7060491,68479184
6,Russia,16592824,97455,353230,784,13931995,183530,2307599,2300,113619,2419,273400000,1872108,146038558
7,Germany,15173170,198457,123976,255,11470300,230800,3578894,2494,180141,1472,104701826,1243053,84229585
8,Turkey,14206121,56780,94837,189,13505997,68268,605287,1011,165479,1105,144621913,1684621,85848342
9,Italy,12869006,37517,155214,214,11651094,49352,1062698,681,213367,2573,188282525,3121709,60313928
10,Spain,11054888,18803,100037,154,9739955,60708,1214896,902,236292,2138,471036328,10068126,46784904
11,Argentina,8912317,8141,126390,133,8694508,5784,91419,1101,194229,2754,34323218,748018,45885536
12,Iran,7066975,6234,137267,203,6678078,12376,251630,6234,82384,1600,47415942,552758,85780675
13,Netherlands,6446603,48489,21582,12,4538199,121261,1886822,164,374847,1255,21107399,1227321,17197940
14,Colombia,6067023,1222,138899,45,5893989,1459,34135,342,117158,2682,33250588,642091,51784841
15,Poland,5694759,14729,111864,277,5087126,13819,495769,720,150744,2961,33800174,894713,37777656
16,Indonesia,5630096,40920,149036,376,4944237,42935,536823,2911,20228,535,85688211,307861,278333780
17,Mexico,5521744,13115,318531,382,4796078,14514,407135,4798,42091,2428,15120948,115264,131185592
18,Japan,5067735,61843,23860,227,4344917,80301,698958,1452,40274,190,39164027,311240,125832372
19,Ukraine,4809624,None,105505,None,4058020,None,646099,177,111085,2437,19521252,450872,43296682
20,Vietnam,3709481,110301,40452,114,2516785,36902,1152244,3949,37547,409,79510748,804804,98795216
21,South Africa,3677686,1995,99458,28,3552788,1749,25440,546,60736,1643,23138425,382124,60552159
22,Philippines,3663916,862,56504,53,3556560,1593,50852,298,32712,504,28203435,251802,112006337
23,Israel,3651231,9927,10237,19,3577832,19892,63162,549,391511,1098,41373364,4436346,9326000
24,Czechia,3599572,11626,38771,33,3468870,5788,91931,202,335092,3609,52701504,4906103,10742030
25,Belgium,3563841,6527,30199,20,3064133,38329,469509,240,305293,2587,31755449,2720297,11673524
26,Peru,3520604,1883,210851,107,None,None,None,908,104359,6250,27460384,813989,33735577
27,Malaysia,3496090,27500,32942,115,3169669,27557,293479,360,105764,997,49993560,1512409,33055576
28,S. Korea,3492686,219237,8266,96,969524,None,2514896,762,68027,161,15804065,307816,51342584
29,Canada,3303785,6911,36729,91,3155407,7175,111649,666,86278,959,58276405,1521874,38292534
30,Portugal,3282457,8833,21111,25,2787805,679,473541,90,323482,2080,37805639,3725703,10147250
31,Australia,3261350,25255,5272,60,3052327,21711,203751,121,125476,203,63684012,2450148,25991908
32,Chile,3099407,21697,42411,30,2125988,28601,931008,1100,159853,2187,33144325,1709429,19389120
33,Thailand,2934544,22197,23024,45,2692739,19093,218781,687,41867,328,17270775,246404,70091331
34,Switzerland,2838555,21668,13249,2,2212992,18133,612314,130,324040,1512,18759026,2141467,8759895
35,Romania,2748777,6832,63677,89,2524112,14066,160988,858,144488,3347,21154404,1111973,19024208
36,Austria,2744023,39493,14888,47,2453789,30635,275346,190,301810,1638,160503829,17653544,9091876
37,Denmark,2670624,19357,4687,38,2324520,40504,341417,42,458387,804,125558279,21550881,5826132
38,Greece,2454429,15557,25972,58,2248111,18550,180346,399,237410,2512,66299019,6412915,10338360
39,Sweden,2453936,2450,17391,2,2166537,24688,270008,58,240487,1704,18174812,1781144,10204011
40,Iraq,2305083,1267,25013,14,2248816,2343,31254,107,55248,600,18004782,431536,41722519
41,Bangladesh,1945108,732,29053,8,1826949,4824,89106,1275,11618,174,13447872,80325,167418158
42,Serbia,1916707,2846,15315,35,1819694,8148,81698,105,220849,1765,8785087,1012244,8678824
43,Hungary,1793120,3539,44134,83,1606084,11076,142902,133,186404,4588,10800452,1122761,9619545
44,Jordan,1638228,None,13849,None,1546429,None,77950,694,157953,1335,16319298,1573461,10371593
45,Georgia,1616159,3840,16231,32,1517856,4692,82072,None,406435,4082,15938025,4008125,3976429
46,Pakistan,1510986,765,30218,22,1445245,1961,35523,981,6626,133,26498814,116212,228021895
47,Slovakia,1470892,12763,18567,37,1269994,19910,182331,232,269195,3398,6424827,1175838,5464041
48,Ireland,1307062,3342,6521,13,1176500,3861,124041,46,259878,1297,11402648,2267148,5029513
49,Kazakhstan,1302810,260,13616,10,1270379,1250,18815,528,68031,711,11575012,604433,19150201
50,Norway,1279169,22090,1664,None,88952,None,1188553,19,232926,303,9852076,1793978,5491748
51,Morocco,1161290,159,16002,8,1141932,518,3356,293,30854,425,11237010,298554,37638101
52,Bulgaria,1096194,2274,35696,59,848026,4452,212472,447,159762,5202,9225405,1344530,6861433
53,Lebanon,1072537,1841,10115,11,682977,None,379445,186,158317,1493,4795578,707876,6774598
54,Cuba,1070730,472,8496,1,1059900,654,2334,34,94628,751,12920253,1141858,11315115
55,Croatia,1058453,2510,15122,21,1031092,1138,12239,91,260500,3722,4527239,1114218,4063153
56,Tunisia,999441,None,27824,None,953587,None,18030,222,83119,2314,4350544,361813,12024286
57,Nepal,977199,123,11941,3,957488,321,7770,100,32565,398,5430739,180976,30007989
58,Belarus,923432,2169,6506,13,912797,3130,4129,None,97778,689,12467117,1320089,9444152
59,Lithuania,913300,6059,8465,10,823441,5457,81394,84,343461,3183,7773941,2923516,2659107
60,Slovenia,897124,1917,6327,8,857488,4744,33309,89,431431,3043,2573571,1237643,2079413
61,Bolivia,893512,117,21441,3,790620,910,81451,220,74847,1796,2669468,223615,11937790
62,UAE,880970,519,2301,None,837139,1613,41530,None,87319,228,138617317,13739286,10089121
63,Uruguay,846868,2468,7005,14,821270,4296,18593,116,242395,2005,5723287,1638147,3493756
64,Ecuador,833291,None,35249,None,None,None,None,759,46067,1949,2470170,136560,18088496
65,Costa Rica,811040,1909,8057,10,679146,5852,123837,117,156829,1558,3712867,717950,5171484
