yesterdayRank,yesterdayCountry,yesterdayTotalCases,yesterdayNewCases,yesterdayTotalDeaths,yesterdayNewDeaths,yesterdayTotalRecovered,yesterdayNewRecovered,yesterdayActiveCases,yesterdaySeriousCritical,yesterdayCasesPerMillion,yesterdayDeathsPerMillion,yesterdayTotalTests,yesterdayTestsPerMillion,yesterdayPopulation
1,USA,80160205,32271,961103,461,51939509,256493,27259593,11130,239869,2876,939843195,2812356,334183570
2,India,42851929,13405,512371,230,42158510,34226,181048,8944,30560,365,760146333,542096,1402235728
3,Brazil,28250591,42379,644695,333,25244026,195954,2361870,8318,131376,2998,63776166,296584,215035499
4,France,22304024,17195,136991,283,19421032,416896,2746001,3055,340466,2091,243529298,3717424,65510236
5,UK,18654319,38324,160610,15,16817120,106796,1676589,335,272443,2346,477088898,6967809,68470433
6,Russia,15522756,152337,346235,735,12492732,127494,2683789,2300,106293,2371,273400000,1872128,146037024
7,Germany,13714255,111824,122040,149,9829300,155600,3762915,2494,162833,1449,104701826,1243150,84223015
8,Turkey,13589511,85026,92719,268,12755700,94402,741092,1128,158338,1080,140748139,1639924,85826038
9,Italy,12494567,24516,153190,201,11019298,50659,1322079,928,207151,2540,184378274,3056866,60316106
10,Spain,10858000,16260,98462,154,8735901,157293,2023637,1284,232086,2105,471036328,10068222,46784460
11,Argentina,8838674,11170,125451,173,8596460,12953,116763,1542,192667,2735,33914284,739270,45875348
12,Iran,6961562,19110,135276,236,6517436,27516,308850,4085,81180,1577,46620277,543650,85754239
13,Netherlands,6118542,35987,21489,6,3848336,55144,2248717,170,355791,1250,21107399,1227388,17197011
14,Colombia,6049952,2910,138205,99,5870879,4873,40868,342,116859,2670,32980562,637041,51771513
15,Poland,5563425,9568,109832,15,4890810,34181,562783,1003,147264,2907,33078265,875580,37778671
16,Mexico,5413425,5714,315688,163,4664322,11256,433415,4798,41276,2407,14886426,113505,131152303
17,Indonesia,5231923,34418,146541,176,4554711,39929,530671,2536,18802,527,81463516,292758,278262700
18,Ukraine,4734333,13562,104645,127,3952363,13904,677325,177,109330,2417,19288823,445437,43303109
19,Japan,4484753,72861,21821,185,3613267,72977,849665,1495,35638,173,37611273,298877,125841851
20,South Africa,3659698,1151,98804,137,3524402,1670,36492,546,60457,1632,22896483,378243,60533773
21,Philippines,3653265,1166,55763,79,3538852,3015,58650,304,32627,498,27993027,250004,111970468
22,Israel,3566816,13951,10001,30,3436102,26248,120713,772,382459,1072,41373364,4436346,9326000
23,Czechia,3510408,4271,38315,43,3332800,22270,139293,219,326807,3567,52274588,4866581,10741543
24,Belgium,3506228,4534,29985,32,2612841,67448,863402,350,300389,2569,31353093,2686114,11672287
25,Peru,3497896,1887,209641,173,None,None,None,1163,103720,6216,26997737,800543,33724280
26,Malaysia,3246779,25099,32390,43,2955404,17749,258985,272,98252,980,48006386,1452741,33045379
27,Canada,3243951,2084,36046,5,3089377,8858,118528,790,84733,942,57774463,1509086,38284405
28,Portugal,3193178,5789,20866,35,2696696,19997,475616,114,314662,2056,33409187,3292201,10147978
29,Australia,3049415,17342,4929,16,2834719,22681,209767,179,117355,190,62924919,2421620,25984635
30,Chile,2877551,24350,41491,144,1908328,15320,927732,1005,148441,2140,32353716,1669000,19385090
31,Vietnam,2834643,47150,39605,104,2294669,13235,500369,3145,28698,401,78508813,794835,98773702
32,Thailand,2731198,18883,22659,32,2542145,14914,166394,687,38969,323,17270775,246419,70087036
33,Switzerland,2687485,7912,13170,8,1920636,74250,753679,166,306849,1504,18362379,2096559,8758340
34,Romania,2671314,7694,62632,85,2329184,24531,279498,1101,140393,3292,20688043,1087279,19027346
35,Austria,2494535,21436,14594,13,2198462,28593,281479,189,274408,1605,155336402,17087557,9090615
36,Denmark,2484492,27406,4341,29,1942779,32979,537372,44,426476,745,124548564,21379408,5825632
37,Sweden,2431365,2037,16897,1,1808486,None,605982,85,238312,1656,18107257,1774792,10202465
38,Greece,2316992,18066,25417,90,2084672,19549,206903,460,224089,2458,63470397,6138571,10339605
39,Iraq,2293244,2074,24876,18,2224520,3815,43848,193,54994,597,17869511,428523,41700270
40,S. Korea,2058184,95347,7450,45,905128,12839,1145606,480,40088,145,15804065,307822,51341502
41,Bangladesh,1935242,1951,28974,9,1763258,8674,143010,1289,11562,173,13236964,79084,167377842
42,Serbia,1887596,4483,14904,55,1715637,15561,157055,136,217473,1717,8651160,996713,8679686
43,Hungary,1759685,13261,43299,233,1526826,22771,189560,233,182917,4501,10662822,1108385,9620146
44,Jordan,1582161,11254,13713,31,1415431,22598,153017,1032,152584,1322,16020086,1544983,10369104
45,Georgia,1553668,4775,15888,32,1407776,19242,130004,None,390701,3995,15645917,3934480,3976616
46,Pakistan,1501680,1360,30040,31,1403968,1315,67672,1302,6589,132,26136422,114676,227916250
47,Slovakia,1361039,6691,18252,12,1108780,9950,234007,246,249093,3340,6222719,1138863,5463976
48,Kazakhstan,1299083,627,13543,8,1254041,2400,31499,528,67856,707,11575012,604607,19144680
49,Ireland,1276778,3473,6443,26,1134820,13286,135515,57,253926,1281,11250554,2237510,5028157
50,Morocco,1159157,190,15916,22,1135897,1019,7344,293,30806,423,11237010,298639,37627346
51,Norway,1151288,14879,1549,1,88952,None,1060787,29,209679,282,9852076,1794318,5490707
52,Bulgaria,1072493,4845,35185,143,798303,10197,239005,549,156278,5127,9061645,1320417,6862712
53,Cuba,1065947,562,8491,4,1054266,571,3190,34,94204,750,12920253,1141841,11315285
54,Lebanon,1049274,3101,9989,19,682977,None,356308,186,154866,1474,4795578,707798,6775346
55,Croatia,1041524,312,14869,54,1005744,4301,20911,122,256295,3659,4470858,1100174,4063772
56,Tunisia,987256,None,27486,None,925164,None,34606,234,82126,2286,4280200,356053,12021247
57,Nepal,975806,247,11925,4,952599,1205,11282,100,32532,398,5384999,179529,29995086
58,Bolivia,889747,236,21378,6,775819,8653,92550,220,74556,1791,2669468,223688,11933873
59,Belarus,887582,4365,6375,14,873353,4097,7854,None,93981,675,12311853,1303638,9444229
