rank2Days,country2Days,totalCases2Days,newCases2Days,totalDeaths2Days,newDeaths2Days,totalRecovered2Days,newRecovered2Days,activeCases2Days,seriousCritical2Days,casesPerMillion2Days,deathsPerMillion2Days,totalTests2Days,testsPerMillion2Days,population2Days
158,Mauritius,41272,None,1036,None,39522,None,714,None,32377,813,358675,281374,1274727
159,Tanzania,40806,None,845,None,None,None,None,7,645,13,None,None,63298550
160,Togo,39337,None,290,None,39041,None,6,None,4531,33,802886,92489,8680837
161,Guinea,38153,None,464,None,37218,None,471,8,2752,33,660107,47607,13865691
162,Isle of Man,38008,None,116,None,None,None,None,None,443335,1353,150753,1758422,85732
163,Bahamas,37491,None,833,None,36366,None,292,1,93607,2080,257839,643767,400516
164,Faeroe Islands,34658,None,28,None,None,None,None,5,703959,569,778000,15802409,49233
165,Lesotho,34490,None,706,None,25980,None,7804,None,15852,324,431221,198199,2175699
166,Haiti,33874,None,860,None,32915,None,99,None,2900,74,132422,11337,11680283
167,Mali,32764,1,743,1,31943,None,78,None,1526,35,779539,36302,21473764
168,Cayman Islands,31359,None,36,None,8553,None,22770,1,466118,535,222773,3311280,67277
169,Saint Lucia,29550,None,404,None,29095,None,51,None,159632,2182,210983,1139752,185113
170,Benin,27980,None,163,None,27746,None,71,5,2189,13,604310,47268,12784726
171,Somalia,27300,None,1361,None,13182,None,12757,None,1621,81,400466,23778,16841795
172,Congo,25375,None,386,None,24006,None,983,None,4377,67,347815,59991,5797805
173,Solomon Islands,24575,None,153,None,None,None,None,1,34077,212,None,None,721159
174,Timor-Leste,23364,None,138,None,23102,None,124,None,17061,101,278529,203391,1369429
175,San Marino,22615,209,120,1,22266,235,229,4,663488,3521,157634,4624732,34085
176,Micronesia,22203,None,55,None,None,None,None,1,188979,468,21923,186596,117489
177,Burkina Faso,21631,None,387,None,21143,None,101,None,979,18,248995,11265,22102838
178,Liechtenstein,21094,None,88,None,20910,14,96,None,549509,2292,112457,2929559,38387
179,Gibraltar,20207,None,110,None,16579,None,3518,None,599543,3264,534283,15852213,33704
180,Grenada,19613,None,237,None,19358,None,18,4,172840,2089,182981,1612523,113475
181,Bermuda,18519,None,152,None,18343,None,24,None,298988,2454,1019654,16462229,61939
182,Nicaragua,18491,None,225,None,4225,None,14041,None,2728,33,None,None,6779100
183,South Sudan,18352,None,138,None,18115,None,99,1,1580,12,410280,35313,11618511
184,Tajikistan,17786,None,125,None,17264,None,397,None,1786,13,None,None,9957464
185,Equatorial Guinea,17184,None,183,None,16880,None,121,5,11482,122,365697,244342,1496662
186,Tonga,16182,None,12,None,15638,None,532,None,150182,111,535009,4965327,107749
187,Samoa,15967,None,29,None,1605,None,14333,4,78951,143,187397,926612,202239
188,Dominica,15760,None,74,None,15673,None,13,None,217848,1023,229344,3170187,72344
189,Monaco,15713,None,63,None,15503,None,147,4,394968,1584,78646,1976875,39783
190,Djibouti,15690,None,189,None,15427,None,74,None,15441,186,305941,301094,1016097
191,Marshall Islands,15547,None,17,None,15390,None,140,22,258871,283,None,None,60057
192,CAR,15311,None,113,None,14615,None,583,2,3052,23,81294,16205,5016678
193,Gambia,12586,None,372,None,12189,None,25,None,4919,145,155686,60851,2558482
194,Saint Martin,12058,None,63,None,1399,None,10596,7,303499,1586,112382,2828643,39730
195,Greenland,11971,None,21,None,2761,None,9189,4,210117,369,164926,2894810,56973
196,Vanuatu,11952,None,14,None,11937,None,1,None,37137,44,24976,77606,321832
197,Yemen,11945,None,2159,None,9124,None,662,23,383,69,329592,10579,31154867
